table_key,page,title,expected_values,hits,misses,recall,sample_misses
p1_cover_meta,1,表紙メタデータ表,14,13,1,0.9286,"[[""R4C2"", ""社外秘 (Confidential — Internal Use Only)""]]"
p2_table1_dept_product_monthly,2,表1: 部門別・製品別 月次実績明細（千円）— 2025年4月〜2025年9月,1586,1259,327,0.7938,"[[""header"", ""04月_予算""], [""header"", ""04月_実績""], [""header"", ""04月_差異""], [""header"", ""04月_達成%""], [""header"", ""05月_予算""], [""header"", ""05月_実績""], [""header"", ""05月_差異""], [""header"", ""05月_達成%""], [""header"", ""06月_予算""], [""header"", ""06月_実績""], [""header"", ""06月_差異""], [""header"", ""06月_達成%""], [""header"", ""07月_予算""], [""header"", ""07月_実績""], [""header"", ""07月_差異""], [""header"", ""07月_達成%""], [""header"", ""08月_予算""], [""header"", ""08月_実績""], [""header"", ""08月_差異""], [""header"", ""08月_達成%""]]"
p3_table2_account_balance,3,表2: 勘定科目別 月末残高一覧（千円）,510,499,11,0.9784,"[[""R41C2"", ""その他有価証券評価差額金""], [""R48C1"", ""7400""], [""R48C2"", ""特別利益""], [""R48C3"", ""3,717,361,214""], [""R48C4"", ""4,150,163,567""], [""R48C5"", ""4,042,857,233""], [""R48C6"", ""4,439,969,987""], [""R48C7"", ""4,305,079,504""], [""R48C8"", ""4,601,629,534""], [""R48C9"", ""4,342,854,619""], [""R48C10"", ""+16.8%""]]"
p4_table3_fx_kpi_image,4,表3: FX & KPI Monthly Trend (画像埋め込み),176,172,4,0.9773,"[[""header"", ""標準偏差""], [""R4C3"", ""USD/bbl""], [""R5C3"", ""USD/MT""], [""R11C1"", ""運転資本""]]"
p5_table4_ar_aging_image_scan,5,表4: 取引先別 売掛金年齢調べ（スキャン風画像）,171,3,168,0.0175,"[[""header"", ""名称""], [""header"", ""30日以内""], [""header"", ""31-60日""], [""header"", ""61-90日""], [""header"", ""91-180日""], [""header"", ""180日超""], [""R1C1"", ""C-1001""], [""R1C2"", ""株式会社サンプル商事""], [""R1C3"", ""2,883,553""], [""R1C4"", ""7,719,145""], [""R1C5"", ""6,070,880""], [""R1C6"", ""1,478,574""], [""R1C7"", ""7,326,807""], [""R1C8"", ""25,478,959""], [""R1C9"", ""8,658,838""], [""R2C1"", ""C-1002""], [""R2C2"", ""東洋ダミー工業株式会社""], [""R2C3"", ""4,082,173""], [""R2C4"", ""7,309,439""], [""R2C5"", ""6,718,433""]]"
p6_table5_sga_text,6,表5: 販売費及び一般管理費 明細（千円・テキストレイヤー）,260,260,0,1.0,[]
p6_table6_inventory_aging_image,6,表6: 棚卸資産 滞留分析（画像レイヤー）,88,18,70,0.2045,"[[""header"", ""残高(千円)""], [""header"", ""0-30日""], [""header"", ""31-90日""], [""header"", ""91-180日""], [""header"", ""180日超""], [""header"", ""評価減""], [""R1C1"", ""INV-18870""], [""R1C3"", ""72,313""], [""R1C4"", ""25,731""], [""R1C5"", ""25,746""], [""R1C7"", ""19,803""], [""R1C8"", ""14,171""], [""R2C1"", ""INV-71621""], [""R2C3"", ""84,318""], [""R2C4"", ""25,354""], [""R2C5"", ""24,464""], [""R2C6"", ""16,623""], [""R2C7"", ""1,064""], [""R2C8"", ""5,731""], [""R3C1"", ""INV-56805""]]"
p7_table7_consolidated_bs,7,表7: 連結貸借対照表（要約）— 階層インデント・複合ヘッダ・小計／合計入り,256,250,6,0.9766,"[[""header"", ""前期末_金額(千円)""], [""header"", ""前期末_構成比""], [""header"", ""当期末_金額(千円)""], [""header"", ""当期末_構成比""], [""header"", ""増減_金額(千円)""], [""header"", ""増減_増減率""]]"
p8_table8_pivot_segment_region,8,表8: セグメント × 地域 × 期間 売上クロス集計（ピボット）,273,248,25,0.9084,"[[""header"", ""日本_本州_上期""], [""header"", ""日本_本州_前年比""], [""header"", ""日本_その他_上期""], [""header"", ""日本_その他_前年比""], [""header"", ""北米_USA_上期""], [""header"", ""北米_USA_前年比""], [""header"", ""北米_CAN_上期""], [""header"", ""北米_CAN_前年比""], [""header"", ""アジア(除く日本)_中国_上期""], [""header"", ""アジア(除く日本)_中国_前年比""], [""header"", ""アジア(除く日本)_東南ア_上期""], [""header"", ""アジア(除く日本)_東南ア_前年比""], [""header"", ""欧州_DACH_上期""], [""header"", ""欧州_DACH_前年比""], [""header"", ""欧州_その他_上期""], [""header"", ""欧州_その他_前年比""], [""header"", ""全社合計_金額""], [""header"", ""全社合計_構成比""], [""R1C1"", ""インダストリアル""], [""R4C2"", ""制御機器""]]"
p9_table9_journal,9,表9: 仕訳帳（伝票単位で行数が可変）,144,144,0,1.0,[]
