code,evidence,level,message,mode,page,score,suggested_action,target
CANDIDATE_CONVERSION_FAILED,"{""candidate"": ""vlm_secondary"", ""input_pdf"": ""source_pdf"", ""start_page"": 1, ""end_page"": 1, ""error"": ""Pipeline VlmPipeline failed""}",warning,A reconciliation candidate failed during conversion.,IMAGE_RECONCILE,1,0.9,Review candidate diagnostics and rerun the affected page if the safe output is incomplete.,
RECONCILE_TABLE_FALLBACK_SKIPPED,"{""model"": ""gpt-5.4"", ""reason"": ""fallback_not_better"", ""triggers"": [""CANDIDATE_CONVERSION_FAILED""], ""metrics"": {""current"": {""chars"": 19, ""table_count"": 0, ""numeric_cell_count"": 0, ""unknown_token_count"": 0, ""max_table_columns"": 0, ""table_column_counts"": []}, ""fallback"": {""chars"": 21, ""table_count"": 0, ""numeric_cell_count"": 0, ""unknown_token_count"": 0, ""max_table_columns"": 0, ""table_column_counts"": []}, ""triggers"": [""CANDIDATE_CONVERSION_FAILED""]}}",info,Local table fallback was run but was not better than the reconciled output.,IMAGE_RECONCILE,1,0.4,Review the raw candidates if the warning is material.,
VLM_COORD_TABLE_STRUCTURE_MISMATCH,"{""source"": ""vlm_vlm_safe_output"", ""model"": ""gpt-5.4-mini"", ""structure_mismatches"": [""numeric_cell_count_mismatch""], ""coordinate_metrics"": {""chars"": 367, ""table_count"": 1, ""numeric_cell_count"": 4, ""unknown_token_count"": 0, ""max_table_columns"": 9, ""table_column_counts"": [9]}, ""vlm_metrics"": {""chars"": 19, ""table_count"": 0, ""numeric_cell_count"": 0, ""unknown_token_count"": 0, ""max_table_columns"": 0, ""table_column_counts"": []}}",needs_retry,VLM table structure differs from coordinate extraction.,IMAGE_RECONCILE,1,0.84,Fallback this table crop/page and review row/column count differences.,
VLM_COORD_FALLBACK_SKIPPED,"{""source"": ""vlm_vlm_safe_output"", ""model"": ""gpt-5.4"", ""reason"": ""coordinate_vlm_fallback_not_better"", ""initial_report"": {""needs_fallback"": true, ""quality_score"": 4.0, ""coordinate_evidence_strength"": ""strong"", ""coordinate_numeric_evidence_weak"": false, ""coordinate_absence_is_evidence"": true, ""coordinate_presence_is_evidence"": true, ""vlm_only_values"": {}, ""coordinate_only_values"": {}, ""unsupported_value_count"": 0, ""missing_value_count"": 0, ""actionable_unsupported_value_count"": 0, ""actionable_missing_value_count"": 0, ""actionable_structure_mismatch_count"": 1, ""structure_mismatches"": [""numeric_cell_count_mismatch""], ""coordinate_metrics"": {""chars"": 367, ""table_count"": 1, ""numeric_cell_count"": 4, ""unknown_token_count"": 0, ""max_table_columns"": 9, ""table_column_counts"": [9]}, ""vlm_metrics"": {""chars"": 19, ""table_count"": 0, ""numeric_cell_count"": 0, ""unknown_token_count"": 0, ""max_table_columns"": 0, ""table_column_counts"": []}, ""coordinate_quality"": {""ok"": true, ""reasons"": [], ""rows"": 2, ""columns"": 9, ""span_count"": 9, ""span_coverage"": 1.0, ""spans_per_row"": 4.5, ""span_per_row_limit"": 27.0, ""max_cell_chars"": 1, ""max_to_median_cell_char_ratio"": 1.0, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics_summary"": {""status"": ""ok"", ""rows"": 2, ""columns"": 9, ""span_count"": 9, ""span_coverage"": 1.0, ""table_area_ratio"": 0.083}}, ""fallback_report"": {""needs_fallback"": true, ""quality_score"": 4.0, ""coordinate_evidence_strength"": ""strong"", ""coordinate_numeric_evidence_weak"": false, ""coordinate_absence_is_evidence"": true, ""coordinate_presence_is_evidence"": true, ""vlm_only_values"": {}, ""coordinate_only_values"": {}, ""unsupported_value_count"": 0, ""missing_value_count"": 0, ""actionable_unsupported_value_count"": 0, ""actionable_missing_value_count"": 0, ""actionable_structure_mismatch_count"": 1, ""structure_mismatches"": [""numeric_cell_count_mismatch""], ""coordinate_metrics"": {""chars"": 367, ""table_count"": 1, ""numeric_cell_count"": 4, ""unknown_token_count"": 0, ""max_table_columns"": 9, ""table_column_counts"": [9]}, ""vlm_metrics"": {""chars"": 21, ""table_count"": 0, ""numeric_cell_count"": 0, ""unknown_token_count"": 0, ""max_table_columns"": 0, ""table_column_counts"": []}, ""coordinate_quality"": {""ok"": true, ""reasons"": [], ""rows"": 2, ""columns"": 9, ""span_count"": 9, ""span_coverage"": 1.0, ""spans_per_row"": 4.5, ""span_per_row_limit"": 27.0, ""max_cell_chars"": 1, ""max_to_median_cell_char_ratio"": 1.0, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics_summary"": {""status"": ""ok"", ""rows"": 2, ""columns"": 9, ""span_count"": 9, ""span_coverage"": 1.0, ""table_area_ratio"": 0.083}}}",info,Coordinate-validated fallback was run but was not better than the initial VLM output.,IMAGE_RECONCILE,1,0.45,Review the coordinate/VLM quality report before trusting unsupported values.,
VLM_COORD_TABLE_STRUCTURE_MISMATCH,"{""source"": ""vlm_vlm_safe_output"", ""model"": ""gpt-5.4-mini"", ""structure_mismatches"": [""numeric_cell_count_mismatch""], ""coordinate_metrics"": {""chars"": 296, ""table_count"": 1, ""numeric_cell_count"": 4, ""unknown_token_count"": 0, ""max_table_columns"": 7, ""table_column_counts"": [7]}, ""vlm_metrics"": {""chars"": 19, ""table_count"": 0, ""numeric_cell_count"": 0, ""unknown_token_count"": 0, ""max_table_columns"": 0, ""table_column_counts"": []}}",needs_retry,VLM table structure differs from coordinate extraction.,IMAGE_RECONCILE,3,0.84,Fallback this table crop/page and review row/column count differences.,
VLM_COORD_FALLBACK_SKIPPED,"{""source"": ""vlm_vlm_safe_output"", ""model"": ""gpt-5.4"", ""reason"": ""coordinate_vlm_fallback_not_better"", ""initial_report"": {""needs_fallback"": true, ""quality_score"": 4.0, ""coordinate_evidence_strength"": ""strong"", ""coordinate_numeric_evidence_weak"": false, ""coordinate_absence_is_evidence"": true, ""coordinate_presence_is_evidence"": true, ""vlm_only_values"": {}, ""coordinate_only_values"": {}, ""unsupported_value_count"": 0, ""missing_value_count"": 0, ""actionable_unsupported_value_count"": 0, ""actionable_missing_value_count"": 0, ""actionable_structure_mismatch_count"": 1, ""structure_mismatches"": [""numeric_cell_count_mismatch""], ""coordinate_metrics"": {""chars"": 296, ""table_count"": 1, ""numeric_cell_count"": 4, ""unknown_token_count"": 0, ""max_table_columns"": 7, ""table_column_counts"": [7]}, ""vlm_metrics"": {""chars"": 19, ""table_count"": 0, ""numeric_cell_count"": 0, ""unknown_token_count"": 0, ""max_table_columns"": 0, ""table_column_counts"": []}, ""coordinate_quality"": {""ok"": true, ""reasons"": [], ""rows"": 2, ""columns"": 7, ""span_count"": 9, ""span_coverage"": 1.0, ""spans_per_row"": 4.5, ""span_per_row_limit"": 21.0, ""max_cell_chars"": 1, ""max_to_median_cell_char_ratio"": 1.0, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics_summary"": {""status"": ""ok"", ""rows"": 2, ""columns"": 7, ""span_count"": 9, ""span_coverage"": 1.0, ""table_area_ratio"": 0.0308}}, ""fallback_report"": {""needs_fallback"": true, ""quality_score"": 4.0, ""coordinate_evidence_strength"": ""strong"", ""coordinate_numeric_evidence_weak"": false, ""coordinate_absence_is_evidence"": true, ""coordinate_presence_is_evidence"": true, ""vlm_only_values"": {}, ""coordinate_only_values"": {}, ""unsupported_value_count"": 0, ""missing_value_count"": 0, ""actionable_unsupported_value_count"": 0, ""actionable_missing_value_count"": 0, ""actionable_structure_mismatch_count"": 1, ""structure_mismatches"": [""numeric_cell_count_mismatch""], ""coordinate_metrics"": {""chars"": 296, ""table_count"": 1, ""numeric_cell_count"": 4, ""unknown_token_count"": 0, ""max_table_columns"": 7, ""table_column_counts"": [7]}, ""vlm_metrics"": {""chars"": 21, ""table_count"": 0, ""numeric_cell_count"": 0, ""unknown_token_count"": 0, ""max_table_columns"": 0, ""table_column_counts"": []}, ""coordinate_quality"": {""ok"": true, ""reasons"": [], ""rows"": 2, ""columns"": 7, ""span_count"": 9, ""span_coverage"": 1.0, ""spans_per_row"": 4.5, ""span_per_row_limit"": 21.0, ""max_cell_chars"": 1, ""max_to_median_cell_char_ratio"": 1.0, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics_summary"": {""status"": ""ok"", ""rows"": 2, ""columns"": 7, ""span_count"": 9, ""span_coverage"": 1.0, ""table_area_ratio"": 0.0308}}}",info,Coordinate-validated fallback was run but was not better than the initial VLM output.,IMAGE_RECONCILE,3,0.45,Review the coordinate/VLM quality report before trusting unsupported values.,
COORDINATE_TABLE_FALLBACK_TO_VLM,"{""routing_source_mode"": ""TEXT_TABLE_FAST"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""low_span_coverage""], ""rows"": 13, ""columns"": 6, ""span_count"": 22, ""span_coverage"": 0.8636, ""spans_per_row"": 1.6923, ""span_per_row_limit"": 18.0, ""max_cell_chars"": 34, ""max_to_median_cell_char_ratio"": 2.4286, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics"": {""method"": ""pdf_text_alignment"", ""page"": 5, ""status"": ""ok"", ""bbox"": [61.91, 116.37, 357.31, 440.85], ""table_area_ratio"": 0.3838, ""horizontal_line_count"": 0, ""vertical_line_count"": 0, ""line_count"": 16, ""table_line_count"": 15, ""raw_rows"": 15, ""raw_columns"": 6, ""trimmed_rows"": 13, ""trimmed_columns"": 6, ""span_count"": 22, ""assigned_span_count"": 19, ""span_coverage"": 0.8636, ""spans_per_trimmed_row"": 1.6923, ""max_cell_chars"": 34, ""median_cell_chars"": 14.0, ""max_to_median_cell_char_ratio"": 2.4286, ""max_long_text_row_ratio"": 0.0, ""header_mode"": ""none"", ""header_inference_enabled"": false, ""header_row_count"": 0, ""measure_start_column"": null, ""filled_row_header_count"": 0, ""pdf_grid_rows_preserved"": true, ""headers"": [""col_001"", ""col_002"", ""col_003"", ""col_004"", ""col_005"", ""col_006""], ""non_table_text_line_count"": 1, ""non_table_text_chars"": 4}, ""selected_model"": ""gpt-5.4-mini"", ""model_selection_reasons"": []}",info,PDF座標ベースの表復元が低信頼のため、表抽出をVLMへフォールバックしました。,TEXT_TABLE_VLM,5,0.65,出力表とPDF原本を確認してください。重要ページではVLM突合を検討してください。,
COORDINATE_TABLE_FALLBACK_TO_VLM,"{""routing_source_mode"": ""TEXT_TABLE_FAST"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""low_span_coverage""], ""rows"": 6, ""columns"": 9, ""span_count"": 45, ""span_coverage"": 0.3111, ""spans_per_row"": 7.5, ""span_per_row_limit"": 27.0, ""max_cell_chars"": 40, ""max_to_median_cell_char_ratio"": 2.7586, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics"": {""method"": ""pdf_text_alignment"", ""page"": 7, ""status"": ""ok"", ""bbox"": [41.81, 88.55, 379.93, 514.42], ""table_area_ratio"": 0.5766, ""horizontal_line_count"": 0, ""vertical_line_count"": 0, ""line_count"": 36, ""table_line_count"": 31, ""raw_rows"": 31, ""raw_columns"": 9, ""trimmed_rows"": 6, ""trimmed_columns"": 9, ""span_count"": 45, ""assigned_span_count"": 14, ""span_coverage"": 0.3111, ""spans_per_trimmed_row"": 7.5, ""max_cell_chars"": 40, ""median_cell_chars"": 14.5, ""max_to_median_cell_char_ratio"": 2.7586, ""max_long_text_row_ratio"": 0.0, ""header_mode"": ""none"", ""header_inference_enabled"": false, ""header_row_count"": 0, ""measure_start_column"": null, ""filled_row_header_count"": 0, ""pdf_grid_rows_preserved"": true, ""headers"": [""col_001"", ""col_002"", ""col_003"", ""col_004"", ""col_005"", ""col_006"", ""col_007"", ""col_008"", ""col_009""], ""non_table_text_line_count"": 5, ""non_table_text_chars"": 55}, ""selected_model"": ""gpt-5.4-mini"", ""model_selection_reasons"": []}",info,PDF座標ベースの表復元が低信頼のため、表抽出をVLMへフォールバックしました。,TEXT_TABLE_VLM,7,0.65,出力表とPDF原本を確認してください。重要ページではVLM突合を検討してください。,
VLM_COORD_WEAK_EVIDENCE,"{""source"": ""initial"", ""model"": ""gpt-5.4-mini"", ""coordinate_evidence_strength"": ""weak"", ""vlm_only_values"": {}, ""coordinate_only_values"": {}, ""structure_mismatches"": [""table_count_mismatch"", ""column_count_mismatch""], ""coordinate_quality"": {""ok"": false, ""reasons"": [""low_span_coverage""], ""rows"": 6, ""columns"": 9, ""span_count"": 45, ""span_coverage"": 0.3111, ""spans_per_row"": 7.5, ""span_per_row_limit"": 27.0, ""max_cell_chars"": 40, ""max_to_median_cell_char_ratio"": 2.7586, ""max_long_text_row_ratio"": 0.0}, ""coordinate_metrics"": {""chars"": 1293, ""table_count"": 1, ""numeric_cell_count"": 2, ""unknown_token_count"": 0, ""max_table_columns"": 9, ""table_column_counts"": [9]}, ""vlm_metrics"": {""chars"": 731, ""table_count"": 2, ""numeric_cell_count"": 0, ""unknown_token_count"": 0, ""max_table_columns"": 2, ""table_column_counts"": [2, 2]}}",info,Coordinate extraction was too weak to validate VLM values authoritatively.,TEXT_TABLE_VLM,7,0.45,"Use VLM output as primary for this page, and review manually if values are business-critical.",
COORDINATE_TABLE_FALLBACK_TO_VLM,"{""routing_source_mode"": ""TEXT_TABLE_FAST"", ""coordinate_quality"": {""ok"": false, ""reasons"": [""coordinate_status_no_grid_bbox"", ""too_few_rows"", ""too_few_columns""], ""rows"": 0, ""columns"": 0, ""span_count"": 0, ""span_coverage"": 0.0, ""spans_per_row"": 0.0, ""span_per_row_limit"": 12.0, ""max_cell_chars"": 0, ""max_to_median_cell_char_ratio"": 0.0, ""max_long_text_row_ratio"": 0.0}, ""coordinate_diagnostics"": {""method"": ""pdf_coordinate_grid"", ""page"": 8, ""status"": ""no_grid_bbox"", ""horizontal_line_count"": 2, ""vertical_line_count"": 2, ""non_table_text_line_count"": 12, ""non_table_text_chars"": 240}, ""selected_model"": ""gpt-5.4-mini"", ""model_selection_reasons"": []}",info,PDF座標ベースの表復元が低信頼のため、表抽出をVLMへフォールバックしました。,TEXT_TABLE_VLM,8,0.65,出力表とPDF原本を確認してください。重要ページではVLM突合を検討してください。,
