code,evidence,level,message,mode,page,score,suggested_action,target
OCR_VLM_DISAGREEMENT,"{""text_cell_disagreement_count"": 13}",warning,表内テキストにOCR/VLMの表記ゆれがあります。safe出力ではVLM側の表記を採用しました。,IMAGE_RECONCILE,4,0.55,必要に応じてraw_outputのOCR/VLM候補値を確認してください。,
EMBEDDED_VISUAL_REGION_CANDIDATE,"{""embedded_visual_region_count"": 1, ""embedded_visual_regions"": [{""region_index"": 1, ""bbox"": [45.35, 330.9, 549.92, 731.2], ""area_ratio"": 0.403, ""width_ratio"": 0.8476, ""height_ratio"": 0.4755, ""text_overlap_ratio"": 0.0, ""visual_complexity_score"": 0.842, ""caption_geometry_score"": 1.0, ""nearest_caption"": ""表4:"", ""page_visual_reference_count"": 1, ""reasons"": [""visual_complexity"", ""caption_geometry"", ""large_visual_region"", ""text_layer_visual_reference""]}], ""visual_reference_count"": 1}",info,テキストレイヤー付きページ内に、通常のテキスト抽出では拾えない可能性がある埋め込み画像領域を検知したため、OCR/VLM追加突合を実行しました。,IMAGE_RECONCILE_APPEND,5,0.842,追加抽出結果と通常抽出結果を確認してください。不一致や読み取り不明がある場合は対象ページを絞るか解像度を上げて再投入してください。,
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""amount"", ""ocr_values"": [""19,145"", ""25,478,959"", ""8,658,838"", ""28,220,156"", ""6,996,905"", ""31,757,316"", ""12,318,956"", ""27,971,768"", ""11,138,713"", ""91,264,218"", ""22,874,713"", ""11,685,070"", ""19,999,999"", ""33,176,764"", ""12,601,489"", ""21,211,692"", ""6,354, 985"", ""29,167,254"", ""14,250,532"", ""57,763,013"", ""30,954,269"", ""8,706,925"", ""72,531,028"", ""27, 474, 762"", ""7,981,955"", ""24,936,660"", ""9,352,536"", ""28,322,194"", ""12,915,351"", ""34,746,166"", ""26,269,868"", ""9,493, 082"", ""24,578,776"", ""11,147,311"", ""17,724,899"", ""6,978,482"", ""95,193,922"", ""21,674,313"", ""8,671,762"", ""25,157,819"", ""8,664, 184"", ""18,189,013"", ""5,830,869""], ""vlm_values"": [""7,719,145"", ""1,264,218"", ""7,763,013"", ""2,531,028"", ""4,746,166"", ""5,193,922""]}",needs_retry,amount のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE_APPEND,5,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""id"", ""ocr_values"": [""31612"", ""19412"", ""66666668"", ""77611""], ""vlm_values"": [""DUMMY-RPT-2025H1-0042""]}",needs_retry,id のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE_APPEND,5,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
OCR_VLM_DISAGREEMENT,"{""text_cell_disagreement_count"": 10}",warning,表内テキストにOCR/VLMの表記ゆれがあります。safe出力ではVLM側の表記を採用しました。,IMAGE_RECONCILE_APPEND,5,0.55,必要に応じてraw_outputのOCR/VLM候補値を確認してください。,
TABLE_CELL_DISAGREEMENT,"{""cell_disagreement_count"": 86}",needs_retry,表セル単位でOCR/VLMの読み取り結果が一致しません。,IMAGE_RECONCILE_APPEND,5,0.88,該当セルを確認し、必要なら該当ページを再投入してください。,
MASKED_AS_UNKNOWN,"{""masked_value_count"": 7, ""masked_cell_count"": 86, ""invalid_value_count"": 0}",warning,safe出力で低信頼箇所を読み取り不明に置換しました。,IMAGE_RECONCILE_APPEND,5,0.8,raw_outputのOCR/VLM候補値を確認してください。,
EMBEDDED_VISUAL_REGION_CANDIDATE,"{""embedded_visual_region_count"": 1, ""embedded_visual_regions"": [{""region_index"": 1, ""bbox"": [76.97, 197.56, 518.31, 418.66], ""area_ratio"": 0.1947, ""width_ratio"": 0.7414, ""height_ratio"": 0.2626, ""text_overlap_ratio"": 0.0, ""visual_complexity_score"": 0.8341, ""caption_geometry_score"": 0.9725, ""nearest_caption"": ""表5+表6: テキスト表と画像表の混在ページ"", ""page_visual_reference_count"": 3, ""reasons"": [""visual_complexity"", ""caption_geometry"", ""text_layer_visual_reference""]}], ""visual_reference_count"": 3}",info,テキストレイヤー付きページ内に、通常のテキスト抽出では拾えない可能性がある埋め込み画像領域を検知したため、OCR/VLM追加突合を実行しました。,IMAGE_RECONCILE_APPEND,6,0.8341,追加抽出結果と通常抽出結果を確認してください。不一致や読み取り不明がある場合は対象ページを絞るか解像度を上げて再投入してください。,
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""amount"", ""ocr_values"": [""9,438""], ""vlm_values"": [""8,438""]}",needs_retry,amount のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE_APPEND,6,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""percent"", ""ocr_values"": [""5%"", ""1%"", ""7%"", ""0%""], ""vlm_values"": [""114.5%"", ""106.1%"", ""103.7%"", ""104.0%""]}",needs_retry,percent のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE_APPEND,6,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""id"", ""ocr_values"": [], ""vlm_values"": [""DUMMY-RPT-2025H1-0042""]}",needs_retry,id のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE_APPEND,6,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
OCR_VLM_DISAGREEMENT,"{""text_cell_disagreement_count"": 25}",warning,表内テキストにOCR/VLMの表記ゆれがあります。safe出力ではVLM側の表記を採用しました。,IMAGE_RECONCILE_APPEND,6,0.55,必要に応じてraw_outputのOCR/VLM候補値を確認してください。,
TABLE_CELL_DISAGREEMENT,"{""cell_disagreement_count"": 2}",needs_retry,表セル単位でOCR/VLMの読み取り結果が一致しません。,IMAGE_RECONCILE_APPEND,6,0.88,該当セルを確認し、必要なら該当ページを再投入してください。,
MASKED_AS_UNKNOWN,"{""masked_value_count"": 6, ""masked_cell_count"": 2, ""invalid_value_count"": 0}",warning,safe出力で低信頼箇所を読み取り不明に置換しました。,IMAGE_RECONCILE_APPEND,6,0.8,raw_outputのOCR/VLM候補値を確認してください。,
ROW_HEADER_SPAN_MISSED,"{""repaired_cell_count"": 8, ""repaired_cells"": [{""row"": 1, ""column"": 1, ""text"": ""インダストリアル"", ""source_bbox"": [158.09, 126.77, 205.03, 132.21], ""covered_rows"": [1, 2, 3, 4, 5]}, {""row"": 6, ""column"": 1, ""text"": ""コンシューマー"", ""source_bbox"": [158.32, 170.61, 198.85, 175.09], ""covered_rows"": [6, 7, 8, 9]}, {""row"": 10, ""column"": 1, ""text"": ""エンタープライズ"", ""source_bbox"": [158.01, 198.73, 205.19, 204.16], ""covered_rows"": [10, 11, 12]}, {""row"": 1, ""column"": 2, ""text"": ""センサー"", ""source_bbox"": [220.32, 117.67, 243.22, 122.59], ""covered_rows"": [1, 2, 3]}, {""row"": 4, ""column"": 2, ""text"": ""制御機器"", ""source_bbox"": [220.07, 141.31, 243.51, 146.77], ""covered_rows"": [4, 5]}, {""row"": 6, ""column"": 2, ""text"": ""家電"", ""source_bbox"": [220.19, 160.51, 231.43, 165.9], ""covered_rows"": [6, 7]}, {""row"": 8, ""column"": 2, ""text"": ""ヘルスケア"", ""source_bbox"": [220.17, 180.03, 249.16, 184.92], ""covered_rows"": [8, 9]}, {""row"": 10, ""column"": 2, ""text"": ""クラウド"", ""source_bbox"": [220.65, 199.18, 243.17, 204.16], ""covered_rows"": [10, 11, 12]}], ""candidate_columns"": [1, 2], ""table_index_in_segment"": 2}",warning,PDFテキストレイヤー上の行見出しSPANがDoclingの構造化テーブルから欠落していたため、座標ベースで補完しました。,TEXT_TABLE_ACCURATE,8,0.78,補完セルを確認してください。補完できない未使用テキストが残る場合は対象ページだけVLM突合を検討してください。,
